order_id,symbol,side,price,quantity,timestamp,commission,slippage_bps
1,SPY,Buy,206.651,96,1712188800000000000,1,1
2,QQQ,Buy,206.651,96,1712188800000000000,1,1
3,GLD,Buy,206.651,96,1712188800000000000,1,1
4,IWM,Buy,206.651,96,1712188800000000000,1,1
5,TLT,Buy,206.651,96,1712188800000000000,1,1
6,SPY,Sell,473.183,96,1712620800000000000,1,1
7,QQQ,Sell,473.183,96,1712620800000000000,1,1
8,GLD,Sell,473.183,96,1712620800000000000,1,1
9,IWM,Sell,473.183,96,1712620800000000000,1,1
10,TLT,Sell,473.183,96,1712620800000000000,1,1
11,SPY,Buy,220.132,100,1712793600000000000,1,1
12,QQQ,Buy,220.132,100,1712793600000000000,1,1
13,GLD,Buy,220.132,100,1712793600000000000,1,1
14,IWM,Buy,220.132,100,1712793600000000000,1,1
15,TLT,Buy,220.132,100,1712793600000000000,1,1
16,SPY,Sell,464.874,100,1712793600000000000,1,1
17,QQQ,Sell,464.874,100,1712793600000000000,1,1
18,GLD,Sell,464.874,100,1712793600000000000,1,1
19,IWM,Sell,464.874,100,1712793600000000000,1,1
20,TLT,Sell,464.874,100,1712793600000000000,1,1
21,SPY,Buy,215.942,100,1712880000000000000,1,1
22,QQQ,Buy,215.942,100,1712880000000000000,1,1
23,GLD,Buy,215.942,100,1712880000000000000,1,1
24,IWM,Buy,215.942,100,1712880000000000000,1,1
25,TLT,Buy,215.942,100,1712880000000000000,1,1
26,SPY,Sell,459.244,100,1713312000000000000,1,1
27,QQQ,Sell,459.244,100,1713312000000000000,1,1
28,GLD,Sell,459.244,100,1713312000000000000,1,1
29,IWM,Sell,459.244,100,1713312000000000000,1,1
30,TLT,Sell,459.244,100,1713312000000000000,1,1
31,SPY,Buy,94.3994,100,1714694400000000000,1,1
32,QQQ,Buy,94.3994,100,1714694400000000000,1,1
33,GLD,Buy,94.3994,100,1714694400000000000,1,1
34,IWM,Buy,94.3994,100,1714694400000000000,1,1
35,TLT,Buy,94.3994,100,1714694400000000000,1,1
36,SPY,Sell,226.897,100,1722384000000000000,1,1
37,QQQ,Sell,226.897,100,1722384000000000000,1,1
38,GLD,Sell,226.897,100,1722384000000000000,1,1
39,IWM,Sell,226.897,100,1722384000000000000,1,1
40,TLT,Sell,226.897,100,1722384000000000000,1,1
41,SPY,Buy,456.366,100,1722470400000000000,1,1
42,QQQ,Buy,456.366,100,1722470400000000000,1,1
43,GLD,Buy,456.366,100,1722470400000000000,1,1
44,IWM,Buy,456.366,100,1722470400000000000,1,1
45,TLT,Buy,456.366,100,1722470400000000000,1,1
46,SPY,Sell,94.7205,100,1724284800000000000,1,1
47,QQQ,Sell,94.7205,100,1724284800000000000,1,1
48,GLD,Sell,94.7205,100,1724284800000000000,1,1
49,IWM,Sell,94.7205,100,1724284800000000000,1,1
50,TLT,Sell,94.7205,100,1724284800000000000,1,1
51,SPY,Buy,230.833,100,1725494400000000000,1,1
52,QQQ,Buy,230.833,100,1725494400000000000,1,1
53,GLD,Buy,230.833,100,1725494400000000000,1,1
54,IWM,Buy,230.833,100,1725494400000000000,1,1
55,TLT,Buy,230.833,100,1725494400000000000,1,1
56,SPY,Sell,203.7,100,1725494400000000000,1,1
57,QQQ,Sell,203.7,100,1725494400000000000,1,1
58,GLD,Sell,203.7,100,1725494400000000000,1,1
59,IWM,Sell,203.7,100,1725494400000000000,1,1
60,TLT,Sell,203.7,100,1725494400000000000,1,1
