timestamp,equity
1704153600000000000,100000
1704153600000000000,72090.3
1704153600000000000,91586.3
1704153600000000000,73151.3
1704153600000000000,99868.3
1704240000000000000,62290.3
1704240000000000000,71999.3
1704240000000000000,92059.3
1704240000000000000,73223.3
1704240000000000000,99262.3
1704326400000000000,73431.3
1704326400000000000,71908.3
1704326400000000000,62311.3
1704326400000000000,91570.3
1704326400000000000,100069
1704412800000000000,72253.3
1704412800000000000,72949.3
1704412800000000000,62091.3
1704412800000000000,92435.3
1704412800000000000,100163
1704672000000000000,73514.3
1704672000000000000,61938.3
1704672000000000000,100232
1704672000000000000,92573.3
1704672000000000000,72153.3
1704758400000000000,71852.3
1704758400000000000,73346.3
1704758400000000000,101962
1704758400000000000,92085.3
1704758400000000000,61952.3
1704844800000000000,93283.3
1704844800000000000,71740.3
1704844800000000000,62062.3
1704844800000000000,101861
1704844800000000000,73353.3
1704931200000000000,71635.3
1704931200000000000,101833
1704931200000000000,62192.3
1704931200000000000,92210.3
1704931200000000000,73164.3
1705017600000000000,101169
1705017600000000000,71772.3
1705017600000000000,91711.3
1705017600000000000,62266.3
1705017600000000000,73492.3
1705363200000000000,101236
1705363200000000000,73945.3
1705363200000000000,72056.3
1705363200000000000,62202.3
1705363200000000000,92416.3
1705449600000000000,72339.3
1705449600000000000,62168.3
1705449600000000000,101850
1705449600000000000,73952.3
1705449600000000000,92866.3
1705536000000000000,101057
1705536000000000000,74031.3
1705536000000000000,62112.3
1705536000000000000,72652.3
1705536000000000000,93106.3
1705622400000000000,72537.3
1705622400000000000,101004
1705622400000000000,92861.3
1705622400000000000,62184.3
1705622400000000000,74012.3
1705881600000000000,74390.3
1705881600000000000,99901.3
1705881600000000000,92017.3
1705881600000000000,62131.3
1705881600000000000,72659.3
1705968000000000000,62051.3
1705968000000000000,99232.3
1705968000000000000,74785.3
1705968000000000000,72855.3
1705968000000000000,93056.3
1706054400000000000,62045.3
1706054400000000000,93155.3
1706054400000000000,75063.3
1706054400000000000,98895.3
1706054400000000000,73041.3
1706140800000000000,92949.3
1706140800000000000,62135.3
1706140800000000000,74990.3
1706140800000000000,73303.3
1706140800000000000,98865.3
1706227200000000000,92957.3
1706227200000000000,75411.3
1706227200000000000,99140.3
1706227200000000000,62191.3
1706227200000000000,73587.3
1706486400000000000,62177.3
1706486400000000000,73796.3
1706486400000000000,75914.3
1706486400000000000,91339.3
1706486400000000000,99759.3
1706572800000000000,62164.3
1706572800000000000,75364.3
1706572800000000000,73639.3
1706572800000000000,90579.3
1706572800000000000,98998.3
1706659200000000000,99769.3
1706659200000000000,89966.3
1706659200000000000,73337.3
1706659200000000000,62292.3
1706659200000000000,75017.3
1706745600000000000,98263.3
1706745600000000000,90025.3
1706745600000000000,74844.3
1706745600000000000,62196.3
1706745600000000000,73391.3
1706832000000000000,75149.3
1706832000000000000,97849.3
1706832000000000000,73598.3
1706832000000000000,62178.3
1706832000000000000,89305.3
1707091200000000000,73604.3
1707091200000000000,62169.3
1707091200000000000,97053.3
1707091200000000000,88508.3
1707091200000000000,74793.3
1707177600000000000,98203.3
1707177600000000000,62219.3
1707177600000000000,74991.3
1707177600000000000,73503.3
1707177600000000000,88516.3
1707264000000000000,87889.3
1707264000000000000,62402.3
1707264000000000000,74575.3
1707264000000000000,98658.3
1707264000000000000,73436.3
1707350400000000000,75084.3
1707350400000000000,62359.3
1707350400000000000,98990.3
1707350400000000000,73338.3
1707350400000000000,86381.3
1707436800000000000,75434.3
1707436800000000000,62202.3
1707436800000000000,73422.3
1707436800000000000,98839.3
1707436800000000000,86420.3
1707696000000000000,85974.3
1707696000000000000,75903.3
1707696000000000000,98406.3
1707696000000000000,62221.3
1707696000000000000,73744.3
1707782400000000000,62154.3
1707782400000000000,86060.3
1707782400000000000,75960.3
1707782400000000000,98283.3
1707782400000000000,73647.3
1707868800000000000,73556.3
1707868800000000000,62062.3
1707868800000000000,75818.3
1707868800000000000,98751.3
1707868800000000000,85704.3
1707955200000000000,99011.3
1707955200000000000,75901.3
1707955200000000000,84434.3
1707955200000000000,73395.3
1707955200000000000,62241.3
1708041600000000000,84570.3
1708041600000000000,73256.3
1708041600000000000,98682.3
1708041600000000000,76268.3
